pxd	data_file	category	field	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	micro_precision	micro_recall	micro_f1
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[organism part]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[organism]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	characteristics[sex]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[cleavage agent details]	2	2	2	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[dissociation method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[fragment mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[instrument]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[organism part]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[organism]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	characteristics[sex]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[cleavage agent details]	2	2	2	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[dissociation method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[fragment mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[instrument]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[organism part]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[organism]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	characteristics[sex]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[cleavage agent details]	2	2	2	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[dissociation method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[fragment mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[instrument]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[organism part]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[organism]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Biological	characteristics[sex]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[cleavage agent details]	2	2	2	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[dissociation method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[fragment mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[instrument]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01_131121210011.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[organism part]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[organism]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Biological	characteristics[sex]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[cleavage agent details]	2	2	2	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[dissociation method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[fragment mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[instrument]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[organism part]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[organism]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Biological	characteristics[sex]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[cleavage agent details]	2	2	2	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[dissociation method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[fragment mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[instrument]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[organism part]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[organism]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Biological	characteristics[sex]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[cleavage agent details]	2	2	2	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[dissociation method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[fragment mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[instrument]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[label]	3	3	3	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[ms2 mass analyzer]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[precursor mass tolerance]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	comment[proteomics data acquisition method]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	Technical	technology type	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	ExperimentalDesign	characteristics[biological replicate]	1	0	0	1	0	0.000000	0.000000	0.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	ExperimentalDesign	comment[technical replicate]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	ExperimentalDesign	factor value[disease]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6.raw	ExperimentalDesign	factor value[experimental design]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6_131122061521.raw	Biological	characteristics[age]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6_131122061521.raw	Biological	characteristics[cell line]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6_131122061521.raw	Biological	characteristics[cell type]	1	1	1	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6_131122061521.raw	Biological	characteristics[cellosaurus accession]	0	0	0	0	0	NA	NA	NA
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6_131122061521.raw	Biological	characteristics[disease]	1	1	1	0	0	1.000000	1.000000	1.000000
